Feature,Importance
cat__Body_Gana dinero rápido desde casa: ¡sin inversión inicial! Visita nuestro sitio y reclama tu cupón. Visita: http://promo.com/757,0.0
cat__Body_Gana dinero rápido desde casa: ¡sin inversión inicial! Visita nuestro sitio y reclama tu cupón. Visita: http://promo.com/800,0.0
cat__Body_Gana dinero rápido desde casa: ¡sin inversión inicial! Visita nuestro sitio y reclama tu cupón. Visita: http://promo.com/814,0.0
cat__Body_Gana dinero rápido desde casa: ¡sin inversión inicial! Visita nuestro sitio y reclama tu cupón. Visita: http://promo.com/837,0.0
cat__Body_Gana dinero rápido desde casa: ¡sin inversión inicial! Visita nuestro sitio y reclama tu cupón. Visita: http://promo.com/907,0.0
cat__Body_Gana dinero rápido desde casa: ¡sin inversión inicial! Visita nuestro sitio y reclama tu cupón. Visita: http://reclama.com/299,0.0
cat__Body_Gana dinero rápido desde casa: ¡sin inversión inicial! Visita nuestro sitio y reclama tu cupón. Visita: http://reclama.com/419,0.0
cat__Body_Gana dinero rápido desde casa: ¡sin inversión inicial! Visita nuestro sitio y reclama tu cupón. Visita: http://reclama.com/573,0.0
cat__Body_Gana dinero rápido desde casa: ¡sin inversión inicial! Visita nuestro sitio y reclama tu cupón. Visita: http://reclama.com/746,0.0
cat__Body_Gana dinero rápido desde casa: ¡sin inversión inicial! Visita nuestro sitio y reclama tu cupón. Visita: http://reclama.com/904,0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Adjunto encontrarás los detalles. Visita: http://ofertas.com/110",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Adjunto encontrarás los detalles. Visita: http://ofertas.com/235",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Adjunto encontrarás los detalles. Visita: http://ofertas.com/274",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Adjunto encontrarás los detalles. Visita: http://ofertas.com/305",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Adjunto encontrarás los detalles. Visita: http://ofertas.com/350",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Adjunto encontrarás los detalles. Visita: http://ofertas.com/522",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Adjunto encontrarás los detalles. Visita: http://ofertas.com/955",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Adjunto encontrarás los detalles. Visita: http://promo.com/324",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Adjunto encontrarás los detalles. Visita: http://promo.com/347",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Adjunto encontrarás los detalles. Visita: http://promo.com/443",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Adjunto encontrarás los detalles. Visita: http://promo.com/454",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Adjunto encontrarás los detalles. Visita: http://promo.com/464",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Adjunto encontrarás los detalles. Visita: http://reclama.com/157",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Adjunto encontrarás los detalles. Visita: http://reclama.com/673",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Adjunto encontrarás los detalles. Visita: http://reclama.com/741",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Adjunto encontrarás los detalles. Visita: http://reclama.com/744",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Adjunto encontrarás los detalles. Visita: http://reclama.com/879",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Haz clic aquí para más información. Visita: http://ofertas.com/296",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Haz clic aquí para más información. Visita: http://ofertas.com/414",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Haz clic aquí para más información. Visita: http://ofertas.com/435",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Haz clic aquí para más información. Visita: http://ofertas.com/443",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Haz clic aquí para más información. Visita: http://ofertas.com/446",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Haz clic aquí para más información. Visita: http://ofertas.com/704",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Haz clic aquí para más información. Visita: http://promo.com/505",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Haz clic aquí para más información. Visita: http://promo.com/689",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Haz clic aquí para más información. Visita: http://promo.com/972",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Haz clic aquí para más información. Visita: http://reclama.com/184",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Haz clic aquí para más información. Visita: http://reclama.com/301",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Haz clic aquí para más información. Visita: http://reclama.com/346",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Haz clic aquí para más información. Visita: http://reclama.com/611",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Llámame si tienes dudas. Visita: http://ofertas.com/282",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Llámame si tienes dudas. Visita: http://ofertas.com/417",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Llámame si tienes dudas. Visita: http://ofertas.com/505",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Llámame si tienes dudas. Visita: http://ofertas.com/601",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Llámame si tienes dudas. Visita: http://ofertas.com/763",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Llámame si tienes dudas. Visita: http://ofertas.com/799",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Llámame si tienes dudas. Visita: http://ofertas.com/885",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Llámame si tienes dudas. Visita: http://ofertas.com/927",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Llámame si tienes dudas. Visita: http://promo.com/636",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Llámame si tienes dudas. Visita: http://promo.com/643",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Llámame si tienes dudas. Visita: http://promo.com/893",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Llámame si tienes dudas. Visita: http://reclama.com/398",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Llámame si tienes dudas. Visita: http://reclama.com/720",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Llámame si tienes dudas. Visita: http://reclama.com/746",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Llámame si tienes dudas. Visita: http://reclama.com/782",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Llámame si tienes dudas. Visita: http://reclama.com/923",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Responde a este correo para confirmar. Visita: http://ofertas.com/311",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Responde a este correo para confirmar. Visita: http://ofertas.com/426",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Responde a este correo para confirmar. Visita: http://ofertas.com/810",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Responde a este correo para confirmar. Visita: http://ofertas.com/914",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Responde a este correo para confirmar. Visita: http://ofertas.com/947",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Responde a este correo para confirmar. Visita: http://promo.com/306",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Responde a este correo para confirmar. Visita: http://promo.com/375",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Responde a este correo para confirmar. Visita: http://promo.com/461",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Responde a este correo para confirmar. Visita: http://promo.com/752",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Responde a este correo para confirmar. Visita: http://promo.com/816",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Responde a este correo para confirmar. Visita: http://promo.com/819",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Responde a este correo para confirmar. Visita: http://reclama.com/110",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Responde a este correo para confirmar. Visita: http://reclama.com/145",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Responde a este correo para confirmar. Visita: http://reclama.com/230",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Responde a este correo para confirmar. Visita: http://reclama.com/353",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Responde a este correo para confirmar. Visita: http://reclama.com/567",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Responde a este correo para confirmar. Visita: http://reclama.com/793",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Visita nuestro sitio y reclama tu cupón. Visita: http://ofertas.com/172",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Visita nuestro sitio y reclama tu cupón. Visita: http://ofertas.com/216",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Visita nuestro sitio y reclama tu cupón. Visita: http://ofertas.com/450",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Visita nuestro sitio y reclama tu cupón. Visita: http://ofertas.com/803",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Visita nuestro sitio y reclama tu cupón. Visita: http://ofertas.com/837",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Visita nuestro sitio y reclama tu cupón. Visita: http://ofertas.com/888",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Visita nuestro sitio y reclama tu cupón. Visita: http://ofertas.com/898",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Visita nuestro sitio y reclama tu cupón. Visita: http://promo.com/321",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Visita nuestro sitio y reclama tu cupón. Visita: http://reclama.com/169",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Visita nuestro sitio y reclama tu cupón. Visita: http://reclama.com/214",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Visita nuestro sitio y reclama tu cupón. Visita: http://reclama.com/445",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Visita nuestro sitio y reclama tu cupón. Visita: http://reclama.com/538",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Visita nuestro sitio y reclama tu cupón. Visita: http://reclama.com/597",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Visita nuestro sitio y reclama tu cupón. Visita: http://reclama.com/840",0.0
"cat__Body_Has sido seleccionado para recibir un premio de $10,000 USD. Visita nuestro sitio y reclama tu cupón. Visita: http://reclama.com/963",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Adjunto encontrarás el documento solicitado. Quedo atento a tus comentarios. Saludos cordiales, Andres Gomez",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Adjunto encontrarás el documento solicitado. Quedo atento a tus comentarios. Saludos cordiales, Valeria Sanchez",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Adjunto encontrarás el documento solicitado. Saludos cordiales, Ana Molina",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Adjunto encontrarás el documento solicitado. Saludos cordiales, Andres Gomez",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Adjunto encontrarás el documento solicitado. Saludos cordiales, Carlos Torres",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Adjunto encontrarás el documento solicitado. Saludos cordiales, Diego Fernandez",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Adjunto encontrarás el documento solicitado. Saludos cordiales, Juan Perez",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Adjunto encontrarás el documento solicitado. Saludos cordiales, Laura Martinez",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Adjunto encontrarás el documento solicitado. Saludos cordiales, Pablo Garcia",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Adjunto encontrarás el documento solicitado. Saludos cordiales, Sofia Ramirez",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Adjunto encontrarás el documento solicitado. Saludos cordiales, Valeria Sanchez",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Quedo atento a tus comentarios. Saludos cordiales, Ana Molina",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Quedo atento a tus comentarios. Saludos cordiales, Diego Fernandez",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Quedo atento a tus comentarios. Saludos cordiales, Maria Lopez",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Quedo atento a tus comentarios. Saludos cordiales, Sofia Ramirez",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Saludos cordiales, Ana Molina",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Saludos cordiales, Andres Gomez",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Saludos cordiales, Carlos Torres",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Saludos cordiales, Diego Fernandez",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Saludos cordiales, Juan Perez",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Saludos cordiales, Laura Martinez",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Saludos cordiales, Maria Lopez",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Saludos cordiales, Pablo Garcia",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Saludos cordiales, Sofia Ramirez",0.0
"cat__Body_Hola, Te escribo para confirmar la entrega. Saludos cordiales, Valeria Sanchez",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Adjunto encontrarás el documento solicitado. Quedo atento a tus comentarios. Saludos cordiales, Juan Perez",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Adjunto encontrarás el documento solicitado. Quedo atento a tus comentarios. Saludos cordiales, Valeria Sanchez",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Adjunto encontrarás el documento solicitado. Saludos cordiales, Ana Molina",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Adjunto encontrarás el documento solicitado. Saludos cordiales, Andres Gomez",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Adjunto encontrarás el documento solicitado. Saludos cordiales, Carlos Torres",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Adjunto encontrarás el documento solicitado. Saludos cordiales, Diego Fernandez",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Adjunto encontrarás el documento solicitado. Saludos cordiales, Laura Martinez",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Adjunto encontrarás el documento solicitado. Saludos cordiales, Maria Lopez",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Adjunto encontrarás el documento solicitado. Saludos cordiales, Pablo Garcia",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Adjunto encontrarás el documento solicitado. Saludos cordiales, Sofia Ramirez",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Adjunto encontrarás el documento solicitado. Saludos cordiales, Valeria Sanchez",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Quedo atento a tus comentarios. Saludos cordiales, Ana Molina",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Quedo atento a tus comentarios. Saludos cordiales, Andres Gomez",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Quedo atento a tus comentarios. Saludos cordiales, Juan Perez",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Quedo atento a tus comentarios. Saludos cordiales, Laura Martinez",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Quedo atento a tus comentarios. Saludos cordiales, Maria Lopez",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Quedo atento a tus comentarios. Saludos cordiales, Sofia Ramirez",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Quedo atento a tus comentarios. Saludos cordiales, Valeria Sanchez",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Saludos cordiales, Ana Molina",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Saludos cordiales, Andres Gomez",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Saludos cordiales, Carlos Torres",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Saludos cordiales, Diego Fernandez",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Saludos cordiales, Juan Perez",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Saludos cordiales, Laura Martinez",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Saludos cordiales, Maria Lopez",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Saludos cordiales, Pablo Garcia",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Saludos cordiales, Sofia Ramirez",0.0
"cat__Body_Hola, Te escribo para confirmar la presentación. Saludos cordiales, Valeria Sanchez",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Adjunto encontrarás el documento solicitado. Quedo atento a tus comentarios. Saludos cordiales, Carlos Torres",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Adjunto encontrarás el documento solicitado. Quedo atento a tus comentarios. Saludos cordiales, Juan Perez",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Adjunto encontrarás el documento solicitado. Quedo atento a tus comentarios. Saludos cordiales, Maria Lopez",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Adjunto encontrarás el documento solicitado. Saludos cordiales, Ana Molina",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Adjunto encontrarás el documento solicitado. Saludos cordiales, Andres Gomez",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Adjunto encontrarás el documento solicitado. Saludos cordiales, Carlos Torres",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Adjunto encontrarás el documento solicitado. Saludos cordiales, Diego Fernandez",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Adjunto encontrarás el documento solicitado. Saludos cordiales, Juan Perez",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Adjunto encontrarás el documento solicitado. Saludos cordiales, Laura Martinez",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Adjunto encontrarás el documento solicitado. Saludos cordiales, Maria Lopez",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Adjunto encontrarás el documento solicitado. Saludos cordiales, Pablo Garcia",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Adjunto encontrarás el documento solicitado. Saludos cordiales, Sofia Ramirez",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Adjunto encontrarás el documento solicitado. Saludos cordiales, Valeria Sanchez",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Quedo atento a tus comentarios. Saludos cordiales, Ana Molina",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Quedo atento a tus comentarios. Saludos cordiales, Andres Gomez",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Quedo atento a tus comentarios. Saludos cordiales, Carlos Torres",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Quedo atento a tus comentarios. Saludos cordiales, Diego Fernandez",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Quedo atento a tus comentarios. Saludos cordiales, Juan Perez",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Quedo atento a tus comentarios. Saludos cordiales, Laura Martinez",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Quedo atento a tus comentarios. Saludos cordiales, Maria Lopez",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Quedo atento a tus comentarios. Saludos cordiales, Sofia Ramirez",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Saludos cordiales, Ana Molina",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Saludos cordiales, Andres Gomez",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Saludos cordiales, Carlos Torres",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Saludos cordiales, Diego Fernandez",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Saludos cordiales, Juan Perez",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Saludos cordiales, Laura Martinez",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Saludos cordiales, Maria Lopez",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Saludos cordiales, Pablo Garcia",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Saludos cordiales, Sofia Ramirez",0.0
"cat__Body_Hola, Te escribo para confirmar la reunión. Saludos cordiales, Valeria Sanchez",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Adjunto encontrarás el documento solicitado. Quedo atento a tus comentarios. Saludos cordiales, Ana Molina",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Adjunto encontrarás el documento solicitado. Quedo atento a tus comentarios. Saludos cordiales, Andres Gomez",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Adjunto encontrarás el documento solicitado. Quedo atento a tus comentarios. Saludos cordiales, Carlos Torres",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Adjunto encontrarás el documento solicitado. Quedo atento a tus comentarios. Saludos cordiales, Diego Fernandez",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Adjunto encontrarás el documento solicitado. Quedo atento a tus comentarios. Saludos cordiales, Maria Lopez",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Adjunto encontrarás el documento solicitado. Quedo atento a tus comentarios. Saludos cordiales, Pablo Garcia",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Adjunto encontrarás el documento solicitado. Quedo atento a tus comentarios. Saludos cordiales, Sofia Ramirez",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Adjunto encontrarás el documento solicitado. Quedo atento a tus comentarios. Saludos cordiales, Valeria Sanchez",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Adjunto encontrarás el documento solicitado. Saludos cordiales, Ana Molina",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Adjunto encontrarás el documento solicitado. Saludos cordiales, Diego Fernandez",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Adjunto encontrarás el documento solicitado. Saludos cordiales, Juan Perez",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Adjunto encontrarás el documento solicitado. Saludos cordiales, Laura Martinez",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Adjunto encontrarás el documento solicitado. Saludos cordiales, Pablo Garcia",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Adjunto encontrarás el documento solicitado. Saludos cordiales, Sofia Ramirez",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Adjunto encontrarás el documento solicitado. Saludos cordiales, Valeria Sanchez",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Quedo atento a tus comentarios. Saludos cordiales, Ana Molina",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Quedo atento a tus comentarios. Saludos cordiales, Carlos Torres",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Quedo atento a tus comentarios. Saludos cordiales, Juan Perez",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Quedo atento a tus comentarios. Saludos cordiales, Laura Martinez",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Quedo atento a tus comentarios. Saludos cordiales, Maria Lopez",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Quedo atento a tus comentarios. Saludos cordiales, Pablo Garcia",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Quedo atento a tus comentarios. Saludos cordiales, Sofia Ramirez",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Saludos cordiales, Ana Molina",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Saludos cordiales, Andres Gomez",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Saludos cordiales, Carlos Torres",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Saludos cordiales, Diego Fernandez",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Saludos cordiales, Juan Perez",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Saludos cordiales, Laura Martinez",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Saludos cordiales, Maria Lopez",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Saludos cordiales, Pablo Garcia",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Saludos cordiales, Sofia Ramirez",0.0
"cat__Body_Hola, Te escribo para coordinar la entrega. Saludos cordiales, Valeria Sanchez",0.0
"cat__Body_Hola, Te escribo para coordinar la presentación. Adjunto encontrarás el documento solicitado. Quedo atento a tus comentarios. Saludos cordiales, Juan Perez",0.0
"cat__Body_Hola, Te escribo para coordinar la presentación. Adjunto encontrarás el documento solicitado. Quedo atento a tus comentarios. Saludos cordiales, Maria Lopez",0.0
"cat__Body_Hola, Te escribo para coordinar la presentación. Adjunto encontrarás el documento solicitado. Quedo atento a tus comentarios. Saludos cordiales, Pablo Garcia",0.0
"cat__Body_Hola, Te escribo para coordinar la presentación. Adjunto encontrarás el documento solicitado. Saludos cordiales, Ana Molina",0.0
"cat__Body_Hola, Te escribo para coordinar la presentación. Adjunto encontrarás el documento solicitado. Saludos cordiales, Andres Gomez",0.0
"cat__Body_Hola, Te escribo para coordinar la presentación. Adjunto encontrarás el documento solicitado. Saludos cordiales, Carlos Torres",0.0
"cat__Body_Hola, Te escribo para coordinar la presentación. Adjunto encontrarás el documento solicitado. Saludos cordiales, Diego Fernandez",0.0
"cat__Body_Hola, Te escribo para coordinar la presentación. Adjunto encontrarás el documento solicitado. Saludos cordiales, Juan Perez",0.0
"cat__Body_Hola, Te escribo para coordinar la presentación. Adjunto encontrarás el documento solicitado. Saludos cordiales, Laura Martinez",0.0
"cat__Body_Hola, Te escribo para coordinar la presentación. Adjunto encontrarás el documento solicitado. Saludos cordiales, Maria Lopez",0.0
"cat__Body_Hola, Te escribo para coordinar la presentación. Adjunto encontrarás el documento solicitado. Saludos cordiales, Pablo Garcia",0.0
"cat__Body_Hola, Te escribo para coordinar la presentación. Adjunto encontrarás el documento solicitado. Saludos cordiales, Valeria Sanchez",0.0
"cat__Body_Hola, Te escribo para coordinar la presentación. Quedo atento a tus comentarios. Saludos cordiales, Ana Molina",0.0
"cat__Body_Hola, Te escribo para coordinar la presentación. Quedo atento a tus comentarios. Saludos cordiales, Andres Gomez",0.0
"cat__Body_Hola, Te escribo para coordinar la presentación. Quedo atento a tus comentarios. Saludos cordiales, Juan Perez",0.0
"cat__Body_Hola, Te escribo para coordinar la presentación. Quedo atento a tus comentarios. Saludos cordiales, Maria Lopez",0.0
"cat__Body_Hola, Te escribo para coordinar la presentación. Quedo atento a tus comentarios. Saludos cordiales, Sofia Ramirez",0.0
"cat__Body_Hola, Te escribo para coordinar la presentación. Saludos cordiales, Ana Molina",0.0
"cat__Body_Hola, Te escribo para coordinar la presentación. Saludos cordiales, Andres Gomez",0.0
"cat__Body_Hola, Te escribo para coordinar la presentación. Saludos cordiales, Carlos Torres",0.0
